[curric] D2 excision: 165028 -> 164896 rows
[fb] mode=zero k_bp=4 seed=24 cell=fb_frozen_s24_lr0.0003: stock 164490 seq
[curric] D2 excision: 165028 -> 164896 rows
164896 rows; charset 42; uncovered chars: [':', 'C', 'H', 'I', 'S', '_', 'a', 'b', 'c', 'e']
skipped 388 out-of-language rows (strict encode; historically silently mangled)
164490 sequences, vocab 40
model: 18.9M params on mps [fast: bf16 + token-budget]
[curric] NO-OP PASS: 100 tuples + epoch length 5140 match the trainer path
[fb] stream digests verified stock e0..e2
[fb] zero-credit: 29 frozen tensors, 30 trainable
[fb] steps_total 15420 (5140/epoch) peak lr 0.0003
[fb] ep0: 5140 batches
  step 200/15420 loss 1.081 (8.5 it/s)
  step 400/15420 loss 0.840 (8.7 it/s)
  step 600/15420 loss 0.705 (8.6 it/s)
  step 800/15420 loss 1.027 (8.7 it/s)
  step 1000/15420 loss 0.300 (8.8 it/s)
  step 1200/15420 loss 0.542 (8.8 it/s)
  step 1400/15420 loss 0.452 (8.9 it/s)
  step 1600/15420 loss 0.477 (8.9 it/s)
  step 1800/15420 loss 0.798 (8.9 it/s)
  step 2000/15420 loss 0.754 (8.9 it/s)
  step 2200/15420 loss 0.381 (9.0 it/s)
  step 2400/15420 loss 0.443 (9.0 it/s)
  step 2600/15420 loss 0.631 (9.0 it/s)
  step 2800/15420 loss 0.221 (9.0 it/s)
  step 3000/15420 loss 0.574 (9.0 it/s)
  step 3200/15420 loss 0.607 (9.0 it/s)
  step 3400/15420 loss 0.563 (9.0 it/s)
  step 3600/15420 loss 0.376 (9.0 it/s)
  step 3800/15420 loss 0.403 (9.0 it/s)
  step 4000/15420 loss 0.476 (9.0 it/s)
  step 4200/15420 loss 0.257 (9.0 it/s)
  step 4400/15420 loss 0.532 (9.0 it/s)
  step 4600/15420 loss 0.273 (9.0 it/s)
  step 4800/15420 loss 0.599 (9.0 it/s)
  step 5000/15420 loss 0.417 (9.0 it/s)
[fb] ep1: 5140 batches
  step 5200/15420 loss 0.381 (9.0 it/s)
  step 5400/15420 loss 0.377 (9.0 it/s)
  step 5600/15420 loss 0.384 (9.0 it/s)
  step 5800/15420 loss 0.294 (9.0 it/s)
  step 6000/15420 loss 0.371 (9.0 it/s)
  step 6200/15420 loss 0.314 (9.0 it/s)
  step 6400/15420 loss 0.361 (9.0 it/s)
  step 6600/15420 loss 0.718 (9.0 it/s)
  step 6800/15420 loss 0.376 (9.0 it/s)
  step 7000/15420 loss 0.696 (9.0 it/s)
  step 7200/15420 loss 0.358 (9.0 it/s)
  step 7400/15420 loss 0.593 (9.0 it/s)
  step 7600/15420 loss 0.382 (9.0 it/s)
  step 7800/15420 loss 0.330 (9.0 it/s)
  step 8000/15420 loss 0.332 (9.0 it/s)
  step 8200/15420 loss 0.424 (9.0 it/s)
  step 8400/15420 loss 0.453 (9.0 it/s)
  step 8600/15420 loss 0.376 (9.0 it/s)
  step 8800/15420 loss 0.353 (9.0 it/s)
  step 9000/15420 loss 0.267 (9.0 it/s)
  step 9200/15420 loss 0.343 (9.0 it/s)
  step 9400/15420 loss 0.656 (9.0 it/s)
  step 9600/15420 loss 0.347 (9.0 it/s)
  step 9800/15420 loss 0.281 (9.0 it/s)
  step 10000/15420 loss 0.396 (9.0 it/s)
  step 10200/15420 loss 0.396 (9.0 it/s)
[fb] ep2: 5140 batches
  step 10400/15420 loss 0.279 (9.0 it/s)
  step 10600/15420 loss 0.356 (9.0 it/s)
  step 10800/15420 loss 0.440 (9.0 it/s)
  step 11000/15420 loss 0.363 (9.0 it/s)
  step 11200/15420 loss 0.292 (9.1 it/s)
  step 11400/15420 loss 0.346 (9.1 it/s)
  step 11600/15420 loss 0.341 (9.1 it/s)
  step 11800/15420 loss 0.414 (9.1 it/s)
  step 12000/15420 loss 0.367 (9.1 it/s)
  step 12200/15420 loss 0.366 (9.1 it/s)
  step 12400/15420 loss 0.569 (9.1 it/s)
  step 12600/15420 loss 0.223 (9.1 it/s)
  step 12800/15420 loss 0.290 (9.1 it/s)
  step 13000/15420 loss 0.352 (9.1 it/s)
  step 13200/15420 loss 0.353 (9.1 it/s)
  step 13400/15420 loss 0.308 (9.1 it/s)
  step 13600/15420 loss 0.378 (9.1 it/s)
  step 13800/15420 loss 0.765 (9.1 it/s)
  step 14000/15420 loss 0.378 (9.1 it/s)
  step 14200/15420 loss 0.335 (9.1 it/s)
  step 14400/15420 loss 0.242 (9.1 it/s)
  step 14600/15420 loss 0.351 (9.1 it/s)
  step 14800/15420 loss 0.424 (9.1 it/s)
  step 15000/15420 loss 0.340 (9.1 it/s)
  step 15200/15420 loss 0.709 (9.1 it/s)
  step 15400/15420 loss 0.504 (9.1 it/s)
[fb] zero-credit freeze law verified: 29 tensors bit-identical to W_0
[fb] saved checkpoints/frozenbb1/fb_frozen_s24_lr0.0003/final.pt after 15420 steps (1703s)
[fb] receipt appended to logs/frozenbb1/births.jsonl (final state_digest ec476ac1eb8ea17a)
